Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2017","2017","kg/ha","150.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2017","2017","t","282.43","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2018","2018","kg/ha","144.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2018","2018","t","275.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2019","2019","kg/ha","148.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2019","2019","t","283.18","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2020","2020","kg/ha","149.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2020","2020","t","283.93","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","kg/ha","148.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2021","2021","t","282.28","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2022","2022","kg/ha","152.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2022","2022","t","284.69","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2023","2023","kg/ha","151.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2023","2023","t","284.36","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01929.07","Abaca, manila hemp, raw","2024","2024","kg/ha","150.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01929.07","Abaca, manila hemp, raw","2024","2024","t","284.48","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","574.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2017","2017","t","284853.68","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","573.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2018","2018","t","284912.13","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","565.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2019","2019","t","292565.74","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","605.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2020","2020","t","296614.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","648.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2021","2021","t","330036.36","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","658.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2022","2022","t","347604.34","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","609","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2023","2023","t","327770.83","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","625.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01371","Almonds, in shell","2024","2024","t","344372.7","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","1005.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","81070.18","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","kg/ha","1009.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","81861.96","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","kg/ha","1020.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","83184.62","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","1035","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","84868.63","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","1115.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","92951.52","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","1132.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","94827.53","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","1145.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","95717.01","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","1067.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","89034.64","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2017","2017","kg/ha","18024.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2017","2017","t","3090062.27","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2018","2018","kg/ha","17442.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2018","2018","t","2893593.98","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2019","2019","kg/ha","19381.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2019","2019","t","3104080.14","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2020","2020","kg/ha","18648.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2020","2020","t","3279521.38","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2021","2021","kg/ha","20530.3","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2021","2021","t","3583572.9","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2022","2022","kg/ha","20995.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2022","2022","t","3753089.96","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2023","2023","kg/ha","21596","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2023","2023","t","3748275.47","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01341","Apples","2024","2024","kg/ha","22025.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2024","2024","t","3894190.8","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2017","2017","kg/ha","7241.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2017","2017","t","556899.53","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2018","2018","kg/ha","8143.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2018","2018","t","531409.07","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2019","2019","kg/ha","7860.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2019","2019","t","499314.66","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2020","2020","kg/ha","7331.8","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2020","2020","t","434826.46","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2021","2021","kg/ha","7439.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2021","2021","t","440530.28","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2022","2022","kg/ha","7320.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2022","2022","t","427042.96","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2023","2023","kg/ha","7530","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2023","2023","t","416220.12","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01343","Apricots","2024","2024","kg/ha","7720.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01343","Apricots","2024","2024","t","392252.77","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2017","2017","kg/ha","17342.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2017","2017","t","525544.83","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2018","2018","kg/ha","17343.5","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2018","2018","t","476493.98","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2019","2019","kg/ha","17643.1","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2019","2019","t","492840.61","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2020","2020","kg/ha","17313.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2020","2020","t","514104.97","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2021","2021","kg/ha","23056.7","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2021","2021","t","693994.75","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2022","2022","kg/ha","23114.4","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2022","2022","t","655396.14","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2023","2023","kg/ha","23298.5","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2023","2023","t","802213.73","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01216","Artichokes","2024","2024","kg/ha","22687.5","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01216","Artichokes","2024","2024","t","808135.25","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2017","2017","kg/ha","5667.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2017","2017","t","1507.09","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2018","2018","kg/ha","5823.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2018","2018","t","1375.19","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2019","2019","kg/ha","6367.6","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2019","2019","t","1597.51","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5412","Yield","01211","Asparagus","2020","2020","kg/ha","6010.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01211","Asparagus","2020","2020","t","1171.34","E","Estimated value",""
