Country,Country Code,Year,Poverty Rate (%)
Albania,ALB,2014,3.7
Argentina,ARG,2014,1.1
Armenia,ARM,2014,3.4
Australia,AUS,2014,0.6
Austria,AUT,2014,0.2
Belgium,BEL,2014,0.1
Burkina Faso,BFA,2014,58.7
Bulgaria,BGR,2014,2.7
Belarus,BLR,2014,0.0
Bolivia,BOL,2014,5.6
Brazil,BRA,2014,4.8
Canada,CAN,2014,0.3
Switzerland,CHE,2014,0.0
China,CHN,2014,4.6
Cameroon,CMR,2014,29.0
Colombia,COL,2014,10.9
Comoros,COM,2014,31.4
Costa Rica,CRI,2014,2.4
Cyprus,CYP,2014,0.1
Czechia,CZE,2014,0.0
Germany,DEU,2014,0.1
Denmark,DNK,2014,0.2
Dominican Republic,DOM,2014,4.1
East Asia & Pacific,EAS,2014,7.8
Europe & Central Asia,ECS,2014,1.2
Ecuador,ECU,2014,4.0
Spain,ESP,2014,0.9
Estonia,EST,2014,1.0
Fragile and conflict affected situations,FCS,2014,36.3
Finland,FIN,2014,0.1
France,FRA,2014,0.0
United Kingdom,GBR,2014,0.4
Georgia,GEO,2014,12.0
Greece,GRC,2014,2.0
Guatemala,GTM,2014,8.0
High income,HIC,2014,0.8
Honduras,HND,2014,20.6
Croatia,HRV,2014,1.2
Hungary,HUN,2014,1.0
IDA total,IDA,2014,36.2
Indonesia,IDN,2014,25.7
Ireland,IRL,2014,0.4
"Iran, Islamic Rep.",IRN,2014,3.3
Iceland,ISL,2014,0.0
Israel,ISR,2014,0.6
Italy,ITA,2014,1.4
Japan,JPN,2014,0.7
Kazakhstan,KAZ,2014,0.1
Kyrgyz Republic,KGZ,2014,8.1
"Korea, Rep.",KOR,2014,0.3
Liberia,LBR,2014,31.7
Latin America & Caribbean,LCN,2014,6.5
Low income,LIC,2014,52.3
Lower middle income,LMC,2014,21.6
Low & middle income,LMY,2014,17.4
Lithuania,LTU,2014,1.7
Luxembourg,LUX,2014,0.2
Latvia,LVA,2014,1.1
Moldova,MDA,2014,0.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2014,11.5
Mexico,MEX,2014,7.2
North Macedonia,MKD,2014,6.4
Malta,MLT,2014,0.0
Montenegro,MNE,2014,3.9
Mongolia,MNG,2014,0.8
Mozambique,MOZ,2014,74.4
Mauritania,MRT,2014,11.7
North America,NAC,2014,1.2
Niger,NER,2014,60.3
Nicaragua,NIC,2014,6.6
Netherlands,NLD,2014,0.1
Norway,NOR,2014,0.1
Panama,PAN,2014,6.4
Peru,PER,2014,8.0
Poland,POL,2014,0.6
Portugal,PRT,2014,0.8
Paraguay,PRY,2014,4.3
Romania,ROU,2014,8.9
Russian Federation,RUS,2014,0.4
South Asia,SAS,2014,20.0
Sudan,SDN,2014,10.1
El Salvador,SLV,2014,7.0
Serbia,SRB,2014,8.9
Sub-Saharan Africa,SSF,2014,45.3
Slovak Republic,SVK,2014,0.9
Slovenia,SVN,2014,0.0
Sweden,SWE,2014,0.5
Thailand,THA,2014,0.2
Timor-Leste,TLS,2014,44.0
Turkiye,TUR,2014,1.0
Ukraine,UKR,2014,0.0
Upper middle income,UMC,2014,6.8
Uruguay,URY,2014,0.2
United States,USA,2014,1.3
Viet Nam,VNM,2014,3.4
World,WLD,2014,14.5
Kosovo,XKX,2014,3.3
"Yemen, Rep.",YEM,2014,33.3
South Africa,ZAF,2014,27.9
Albania,ALB,2015,1.1
Armenia,ARM,2015,2.9
Austria,AUT,2015,0.7
Belgium,BEL,2015,0.1
Benin,BEN,2015,65.8
Bulgaria,BGR,2015,4.6
Bosnia and Herzegovina,BIH,2015,1.2
Belarus,BLR,2015,0.0
Bolivia,BOL,2015,6.2
Brazil,BRA,2015,5.4
Botswana,BWA,2015,21.4
Canada,CAN,2015,0.4
Switzerland,CHE,2015,0.0
Chile,CHL,2015,0.7
China,CHN,2015,2.9
Cote d'Ivoire,CIV,2015,46.6
Colombia,COL,2015,10.2
Cabo Verde,CPV,2015,14.6
Costa Rica,CRI,2015,2.4
Cyprus,CYP,2015,0.0
Czechia,CZE,2015,0.0
Germany,DEU,2015,0.1
Denmark,DNK,2015,0.2
Dominican Republic,DOM,2015,3.3
East Asia & Pacific,EAS,2015,6.1
Europe & Central Asia,ECS,2015,1.2
Ecuador,ECU,2015,4.8
"Egypt, Arab Rep.",EGY,2015,1.2
Spain,ESP,2015,1.1
Estonia,EST,2015,0.7
Ethiopia,ETH,2015,33.0
Fragile and conflict affected situations,FCS,2015,36.7
Finland,FIN,2015,0.1
France,FRA,2015,0.1
United Kingdom,GBR,2015,0.3
Georgia,GEO,2015,10.6
"Gambia, The",GMB,2015,17.1
Greece,GRC,2015,2.0
High income,HIC,2015,0.7
Honduras,HND,2015,19.9
Croatia,HRV,2015,0.7
Hungary,HUN,2015,1.0
IDA total,IDA,2015,36.0
Indonesia,IDN,2015,21.6
Ireland,IRL,2015,0.4
"Iran, Islamic Rep.",IRN,2015,3.0
Iceland,ISL,2015,0.0
Israel,ISR,2015,0.5
Italy,ITA,2015,2.1
Japan,JPN,2015,0.4
Kazakhstan,KAZ,2015,0.1
Kenya,KEN,2015,37.7
Kyrgyz Republic,KGZ,2015,11.0
St. Lucia,LCA,2015,0.1
Latin America & Caribbean,LCN,2015,6.0
Low income,LIC,2015,53.8
Low & middle income,LMY,2015,16.0
Lithuania,LTU,2015,1.0
Luxembourg,LUX,2015,0.3
Latvia,LVA,2015,1.0
Moldova,MDA,2015,0.1
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2015,11.3
North Macedonia,MKD,2015,7.0
Malta,MLT,2015,0.1
Myanmar,MMR,2015,18.2
Montenegro,MNE,2015,3.6
Malaysia,MYS,2015,0.1
North America,NAC,2015,1.1
Namibia,NAM,2015,22.9
Nigeria,NGA,2015,35.8
Netherlands,NLD,2015,0.1
Norway,NOR,2015,0.2
Pakistan,PAK,2015,16.9
Panama,PAN,2015,4.8
Peru,PER,2015,8.0
Philippines,PHL,2015,14.6
Poland,POL,2015,0.5
Portugal,PRT,2015,0.7
Paraguay,PRY,2015,4.2
Romania,ROU,2015,7.6
Russian Federation,RUS,2015,0.4
El Salvador,SLV,2015,5.3
Serbia,SRB,2015,8.4
Sub-Saharan Africa,SSF,2015,45.4
Slovak Republic,SVK,2015,0.8
Slovenia,SVN,2015,0.0
Sweden,SWE,2015,0.6
Togo,TGO,2015,61.7
Thailand,THA,2015,0.1
Tajikistan,TJK,2015,13.3
Tonga,TON,2015,4.0
Tunisia,TUN,2015,0.7
Turkiye,TUR,2015,1.3
Ukraine,UKR,2015,0.3
Upper middle income,UMC,2015,5.4
Uruguay,URY,2015,0.2
United States,USA,2015,1.2
World,WLD,2015,13.4
Kosovo,XKX,2015,2.4
Zambia,ZMB,2015,67.9
Albania,ALB,2016,1.1
Argentina,ARG,2016,1.3
Armenia,ARM,2016,2.5
Australia,AUS,2016,0.5
Austria,AUT,2016,0.7
Belgium,BEL,2016,0.1
Bangladesh,BGD,2016,19.5
Bulgaria,BGR,2016,3.1
Belarus,BLR,2016,0.0
Bolivia,BOL,2016,7.2
Brazil,BRA,2016,6.5
Barbados,BRB,2016,1.7
Canada,CAN,2016,0.4
Switzerland,CHE,2016,0.0
China,CHN,2016,2.1
Colombia,COL,2016,10.1
Costa Rica,CRI,2016,2.4
Cyprus,CYP,2016,0.1
Czechia,CZE,2016,0.0
Germany,DEU,2016,0.1
Denmark,DNK,2016,0.3
Dominican Republic,DOM,2016,3.0
East Asia & Pacific,EAS,2016,5.0
Europe & Central Asia,ECS,2016,1.0
Ecuador,ECU,2016,5.0
Spain,ESP,2016,1.3
Estonia,EST,2016,0.6
Fragile and conflict affected situations,FCS,2016,37.1
Finland,FIN,2016,0.0
France,FRA,2016,0.1
United Kingdom,GBR,2016,0.4
Georgia,GEO,2016,10.5
Ghana,GHA,2016,39.0
Greece,GRC,2016,1.4
High income,HIC,2016,0.6
Honduras,HND,2016,19.8
Croatia,HRV,2016,0.9
Hungary,HUN,2016,1.6
IDA total,IDA,2016,35.6
Indonesia,IDN,2016,18.0
Ireland,IRL,2016,0.3
"Iran, Islamic Rep.",IRN,2016,3.0
Iceland,ISL,2016,0.0
Israel,ISR,2016,0.5
Italy,ITA,2016,1.8
Japan,JPN,2016,0.7
Kazakhstan,KAZ,2016,0.2
Kyrgyz Republic,KGZ,2016,8.0
"Korea, Rep.",KOR,2016,0.2
Liberia,LBR,2016,33.6
Latin America & Caribbean,LCN,2016,6.2
Low income,LIC,2016,54.4
Sri Lanka,LKA,2016,3.8
Low & middle income,LMY,2016,15.0
Lithuania,LTU,2016,1.5
Luxembourg,LUX,2016,0.1
Latvia,LVA,2016,1.0
Moldova,MDA,2016,0.2
Maldives,MDV,2016,0.1
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016,11.3
Mexico,MEX,2016,4.4
North Macedonia,MKD,2016,5.7
Malta,MLT,2016,0.1
Montenegro,MNE,2016,3.3
Mongolia,MNG,2016,1.9
Malawi,MWI,2016,71.7
North America,NAC,2016,1.0
Netherlands,NLD,2016,0.1
Norway,NOR,2016,0.3
Panama,PAN,2016,4.8
Peru,PER,2016,7.5
Poland,POL,2016,0.4
Portugal,PRT,2016,0.4
Paraguay,PRY,2016,4.2
West Bank and Gaza,PSE,2016,1.4
Romania,ROU,2016,5.2
Russian Federation,RUS,2016,0.4
Rwanda,RWA,2016,63.8
El Salvador,SLV,2016,5.8
Serbia,SRB,2016,8.1
South Sudan,SSD,2016,76.5
Sub-Saharan Africa,SSF,2016,45.1
Slovak Republic,SVK,2016,1.5
Slovenia,SVN,2016,0.0
Sweden,SWE,2016,0.4
Eswatini,SWZ,2016,44.5
